Nome,Prova 1,Prova 2,Trabalho
Carmen Levine,1,7,9
Solomon Kennedy,2,6,9
Wayne Ocasio,3,6,9
Martin Bellomy,3,6,9
John Mccandless,2,4,7
Anthony Gilbert,1,5,7
Debra Parris,0,5,9
Philip Colace,1,4,9
Mary Carnicelli,2,5,9
Clyde Wheeler,1,7,7
William Martel,2,2,9
William Robles,1,4,9
James Fowler,3,5,7
Debra Hollar,6,6,9
Gretchen Pompey,3,8,7
Pamela Turbeville,2,2,9
Tina Washington,1,4,9
Andrew Antle,3,6,8
Estelle Sweat,0,7,7
Kelly Hockensmith,2,4,6
Linda Metelus,1,6,8
Marcia Marsalis,2,8,8
Brittany Sims,0,5,6
Paul Walker,2,6,9
Jeanna Jackson,4,2,8
Catherine Adams,2,3,9
Juana Rojas,1,4,8
Harold Stover,4,7,8
Sharon Perreira,1,3,9
James Porter,1,2,9
